AM;PTN;19000;ABDALA HABIB FRAXE JUNIOR;ABDALA FRAXE;Deputado Estadual;Apto;Deferido
SC;PMDB;15015;ADA LILI FARACO DE LUCA;ADA DE LUCA;Deputado Estadual;Apto;Deferido
MG;PMDB;15123;ADALCLEVER RIBEIRO LOPES;ADALCLEVER LOPES;Deputado Estadual;Apto;Deferido
RS;PT;13013;AD�O ROBERTO RODRIGUES VILLAVERDE;VILLA;Deputado Estadual;Apto;Deferido
RO;DEM;25500;ADELINO ANGELO FOLLADOR;ADELINO FOLLADOR;Deputado Estadual;Apto;Deferido
PR;PSL;17800;ADELINO RIBEIRO SILVA;ADELINO RIBEIRO;Deputado Estadual;Apto;Deferido
PR;PSDB;45789;ADEMAR LUIZ TRAIANO;TRAIANO;Deputado Estadual;Apto;Deferido
PR;PMDB;15115;ADEMIR ANTONIO OSMAR BIER;ADEMIR BIER;Deputado Estadual;Apto;Deferido
BA;PP;11111;ADERBAL FULCO CALDAS;ADERBAL CALDAS;Deputado Estadual;Apto;Deferido
GO;PMDB;15111;ADIB ELIAS JUNIOR;ADIB ELIAS;Deputado Estadual;Apto;Deferido
SP;PSB;40400;ADILSON ROSSI;ADILSON ROSSI;Deputado Estadual;Apto;Deferido
RS;PSDB;45123;ADILSON TROCA;ADILSON TROCA;Deputado Estadual;Apto;Deferido
AM;PP;11111;ADJUTO RODRIGUES AFONSO;ADJUTO AFONSO;Deputado Estadual;Apto;Deferido
BA;PSD;55111;ADOLFO EMANUEL MONTEIRO DE MENEZES;ADOLFO MENEZES;Deputado Estadual;Apto;Deferido
RS;PP;11240;ADOLFO JOS� BRITO;ADOLFO BRITO;Deputado Estadual;Apto;Deferido
BA;PSDB;45450;ADOLFO VIANA DE CASTRO NETO;ADOLFO VIANA;Deputado Estadual;Apto;Deferido
GO;PT;13123;ADRIANA SAUTHIER ACCORSI;DELEGADA ADRIANA ACCORSI;Deputado Estadual;Apto;Deferido
PB;PSB;40444;ADRIANO CEZAR GALDINO DE ARA�JO;ADRIANO GALDINO;Deputado Estadual;Apto;Deferido
RO;PP;11111;AELCIO JOSE COSTA;A�LCIO DA TV;Deputado Estadual;Apto;Deferido
CE;PMDB;15888;AGENOR GOMES DE ARAUJO NETO;AGENOR NETO;Deputado Estadual;Apto;Deferido
RN;PDT;12123;AGNELO ALVES;AGNELO;Deputado Estadual;Apto;Deferido
MG;PV;43500;AGOSTINHO CELIO ANDRADE PATRUS;AGOSTINHO PATRUS FILHO;Deputado Estadual;Apto;Deferido
CE;PHS;31234;AGOSTINHO FREDERICO CARMO GOMES;TIN GOMES;Deputado Estadual;Apto;Deferido
PA;PT;13500;AIRTON LUIZ FALEIRO;AIRTON FALEIRO;Deputado Estadual;Apto;Deferido
RO;PDT;12123;AIRTON PEDRO GURGACZ;AIRTON GURGACZ;Deputado Estadual;Apto;Deferido
BA;PTN;19700;ALAN DE CASTRO DAYUBE;ALAN CASTRO;Deputado Estadual;Apto;Deferido
BA;PSD;55000;ALAN EDUARDO SANCHES DOS SANTOS;ALAN SANCHES;Deputado Estadual;Apto;Deferido
RN;PROS;90111;ALBERT DICKSON DE LIMA;ALBERT DICKSON OFTALMOLOGISTA;Deputado Estadual;Apto;Deferido
PE;PR;22022;ALBERTO JORGE DO NASCIMENTO FEITOSA;ALBERTO FEITOSA;Deputado Estadual;Apto;Deferido
AM;PR;22333;ALCIMAR MACIEL PEREIRA;CABO MACIEL;Deputado Estadual;Apto;Deferido
SC;PMDB;15010;ALDO SCHNEIDER;ALDO SCHNEIDER;Deputado Estadual;Apto;Deferido
MG;PDT;12212;ALENCAR MAGALHAES DA SILVEIRA JUNIOR;ALENCAR DA SILVEIRA JR;Deputado Estadual;Apto;Deferido
SP;PT;13570;ALENCAR SANTANA BRAGA;ALENCAR SANTANA;Deputado Estadual;Apto;Deferido
AM;PC do B;65123;ALESSANDRA CAMPELO DA SILVA;ALESSANDRA CAMPELO;Deputado Estadual;Apto;Deferido
BA;PTN;19123;ALEX DE CASTRO LIMA;ALEX LIMA;Deputado Estadual;Apto;Deferido
BA;PMDB;15150;ALEX LOPES DA SILVA;ALEX DA PIAT�;Deputado Estadual;Apto;Deferido
RO;SD;77100;ALEX MENDON�A ALVES;ALEX REDANO;Deputado Estadual;Apto;Deferido
PR;PMDB;15128;ALEXANDRE MARANH�O KHURY;ALEXANDRE CURI;Deputado Estadual;Apto;Deferido
PR;PSC;20120;ALEXANDRE MARCEL KUSTER GUIMAR�ES;ALEXANDRE GUIMAR�ES;Deputado Estadual;Apto;Deferido
ES;PMDB;15123;ALEXANDRE MARCELO COUTINHO SANTOS;MARCELO SANTOS;Deputado Estadual;Apto;Deferido
RS;PMDB;15150;ALEXANDRE POSTAL;ALEXANDRE POSTAL;Deputado Estadual;Apto;Deferido
MA;PTN;19123;ALEXANDRE VICENTE DE PAULA ALMEIDA;ALEXANDRE ALMEIDA;Deputado Estadual;Apto;Deferido
ES;PRP;44567;ALMIR VIEIRA;ALMIR VIEIRA;Deputado Estadual;Apto;Deferido
GO;PSDB;45780;ALOISIO MOREIRA DOS SANTOS;ISO MOREIRA;Deputado Estadual;Apto;Deferido
RS;PTB;14200;ALOISIO TALSO CLASSMANN;CLASSMANN;Deputado Estadual;Apto;Deferido
RS;PT;13030;ALTEMIR ANTONIO TORTELLI;TORTELLI;Deputado Estadual;Apto;Deferido
SP;PSD;55190;ALVARO BATISTA CAMILO;CORONEL CAMILO;Deputado Estadual;Apto;Deferido
RN;PMDB;15555;�LVARO COSTA DIAS;ALVARO DIAS;Deputado Estadual;Apto;Deferido
RS;PMDB;15170;ALVARO DAVI BOESSIO;BOESSIO;Deputado Estadual;Apto;Deferido
PE;PTB;14000;�LVARO PORTO DE BARROS;�LVARO PORTO;Deputado Estadual;Apto;Deferido
GO;PR;22122;�LVARO SOARES GUIMAR�ES;�LVARO GUIMAR�ES;Deputado Estadual;Apto;Deferido
TO;PT;13613;AM�LIA MARIA SANTANA DA SILVA;AM�LIA SANTANA;Deputado Estadual;Apto;Deferido
MS;PT;13013;AMARILDO VALDO DA CRUZ;AMARILDO CRUZ;Deputado Estadual;Apto;Deferido
ES;PPS;23000;AMARO ROCHA NASCIMENTO NETO;AMARO NETO;Deputado Estadual;Apto;Deferido
TO;SD;77333;AMELIO CAYRES DE  ALMEIDA;AM�LIO CAYRES;Deputado Estadual;Apto;Deferido
AP;PMDB;15699;AMIRALDO DA SILVA FAVACHO JUNIOR;JUNIOR FAVACHO;Deputado Estadual;Apto;Deferido
MA;PRB;10000;ANA DE NAZARE PEREIRA SILVA MACEDO MENDON�A;ANA DO G�S;Deputado Estadual;Apto;Deferido
CE;PROS;90555;ANA LAIS PEIXOTO CORREIA NUNES;LAIS NUNES;Deputado Estadual;Apto;Deferido
AC;PT;13013;ANA LEILA GALV�O MAIA;LEILA GALVAO;Deputado Estadual;Apto;Deferido
SE;PT;13900;ANA L�CIA VIEIRA MENEZES;ANA L�CIA;Deputado Estadual;Apto;Deferido
SP;PT;13632;ANA MARIA DO CARMO ROSSETO;ANA DO CARMO;Deputado Estadual;Apto;Deferido
PA;PSDB;45130;ANA MARIA DO SOCORRO MAGNO CUNHA;ANA CUNHA;Deputado Estadual;Apto;Deferido
SC;PT;13313;ANA PAULA DE SOUZA LIMA;ANA PAULA;Deputado Estadual;Apto;Deferido
SP;PSDB;45400;ANALICE FERNANDES;ANALICE FERNANDES;Deputado Estadual;Apto;Deferido
SP;DEM;25005;ANDR� BEZERRA RIBEIRO SOARES;ANDR� SOARES;Deputado Estadual;Apto;Deferido
PE;PMDB;15615;ANDR� FERREIRA RODRIGUES;ANDR� FERREIRA;Deputado Estadual;Apto;Deferido
RJ;PSD;55321;ANDR� GUSTAVO PEREIRA CORR�A DA SILVA;ANDR� CORR�A;Deputado Estadual;Apto;Deferido
SP;PR;22999;ANDR� LUIS DO PRADO;ANDR� DO PRADO;Deputado Estadual;Apto;Deferido
RJ;PT;13567;ANDRE LUIZ CECILIANO;ANDRE CECILIANO;Deputado Estadual;Apto;Deferido
RJ;PMDB;15555;ANDRE LUIZ LAZARONI DE MORAES;ANDR� LAZARONI;Deputado Estadual;Apto;Deferido
MG;PT;13555;ANDRE QUINT�O SILVA;ANDRE QUINT�O;Deputado Estadual;Apto;Deferido
AC;PRP;44777;ANDRE ROBERTO ROGERIO VALE DOS SANTOS;ANDRE DA DROGA VALE;Deputado Estadual;Apto;Deferido
BA;PSD;55444;ANDRE ROGERIO DE ARAUJO ANDRADE;ROGERIO ANDRADE;Deputado Estadual;Apto;Deferido
PR;PDT;12612;ANDRE VINICIUS BUENO;ANDRE BUENO;Deputado Estadual;Apto;Deferido
MA;PMDB;15333;ANDREA TROV�O MURAD BARROS;ANDREA MURAD;Deputado Estadual;Apto;Deferido
RR;PSC;20120;ANGELA AGUIDA PORTELLA ALVES;ANGELA AGUIDA PORTELLA;Deputado Estadual;Apto;Deferido
BA;PSD;55055;ANGELA MARIA CORREA DE SOUSA;ANGELA SOUSA;Deputado Estadual;Apto;Deferido
SP;PT;13121;ANGELO AUGUSTO PERUGINI;ANGELO PERUGINI;Deputado Estadual;Apto;Deferido
MS;PSDB;45055;�NGELO CHAVES GUERREIRO;ANGELO GUERREIRO;Deputado Estadual;Apto;Deferido
BA;PSD;55255;ANGELO MARIO CORONEL DE AZEVEDO MARTINS;CORONEL;Deputado Estadual;Apto;Deferido
