RR;PDT;1234;ABEL SALVADOR MESQUITA JUNIOR;ABEL GALINHA;Deputado Federal;Apto;Deferido
PE;PTB;1444;ADALBERTO CAVALCANTI RODRIGUES;ADALBERTO CAVALCANTI;Deputado Federal;Apto;Deferido
BA;PSB;4013;ADALBERTO SOUZA GALVAO;BEBETO;Deputado Federal;Apto;Deferido
SE;PTB;1414;ADELSON BARRETO DOS SANTOS;ADELSON BARRETO;Deputado Federal;Apto;Deferido
MT;PSB;4045;ADILTON DOMINGOS SACHETTI;ADILTON SACHETTI;Deputado Federal;Apto;Deferido
SP;DEM;2577;ADRIANO ELI CORREA;ELI CORR�A FILHO;Deputado Federal;Apto;Deferido
MG;PR;2222;AELTON JOS� DE FREITAS;AELTON FREITAS;Deputado Federal;Apto;Deferido
RS;PDT;1200;AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;Deputado Federal;Apto;Deferido
BA;PT;1301;AFONSO BANDEIRA FLORENCE;AFONSO FLORENCE;Deputado Federal;Apto;Deferido
PB;PP;1111;AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;Deputado Federal;Apto;Deferido
AC;PRB;1012;ALAN RICK MIRANDA;ALAN RICK;Deputado Federal;Apto;Deferido
RS;PMDB;1500;ALCEU MOREIRA DA SILVA;ALCEU MOREIRA;Deputado Federal;Apto;Deferido
RJ;PT;1313;ALESSANDRO LUCCIOLA MOLON;ALESSANDRO MOLON;Deputado Federal;Apto;Deferido
PR;PTB;1414;ALEX CANZIANI SILVEIRA;ALEX CANZIANI;Deputado Federal;Apto;Deferido
SP;PPS;2343;ALEX SPINELLI MANENTE;ALEX MANENTE;Deputado Federal;Apto;Deferido
RJ;PSD;5570;ALEXANDRE AUGUSTUS SERFIOTIS;ALEXANDRE SERFIOTIS;Deputado Federal;Apto;Deferido
GO;PSDB;4555;ALEXANDRE BALDY DE SANT'ANNA BRAGA;ALEXANDRE BALDY;Deputado Federal;Apto;Deferido
SP;DEM;2513;ALEXANDRE LEITE DA SILVA;ALEXANDRE LEITE;Deputado Federal;Apto;Deferido
RJ;PRP;4415;ALEXANDRE VALLE CARDOSO;ALEXANDRE VALLE;Deputado Federal;Apto;Deferido
AM;PR;2222;ALFREDO PEREIRA DO NASCIMENTO;ALFREDO NASCIMENTO;Deputado Federal;Apto;Deferido
BA;PC do B;6522;ALICE MAZZUCO PORTUGAL;ALICE PORTUGAL;Deputado Federal;Apto;Deferido
PR;PC do B;6565;ALIEL MACHADO BARK;ALIEL MACHADO;Deputado Federal;Apto;Deferido
RJ;PR;2269;ALTINEU CORTES FREITAS COUTINHO;ALTINEU CORTES;Deputado Federal;Apto;Deferido
MA;PSDC;2727;ALUISIO GUIMAR�ES MENDES FILHO;ALUISIO MENDES;Deputado Federal;Apto;Deferido
SP;PT;1321;ANA LUCIA LIPPAUS PERUGINI;ANA PERUGINI;Deputado Federal;Apto;Deferido
PE;PR;2222;ANDERSON FERREIRA RODRIGUES;ANDERSON FERREIRA;Deputado Federal;Apto;Deferido
PE;PSD;5555;ANDRE CARLOS ALVES DE PAULA FILHO;ANDRE DE PAULA;Deputado Federal;Apto;Deferido
AP;PRB;1010;ANDR� DOS SANTOS ABDON;ANDR� ABDON;Deputado Federal;Apto;Deferido
MA;PEN;5151;ANDR� LUIS CARVALHO RIBEIRO;ANDRE FUFUCA;Deputado Federal;Apto;Deferido
SE;PSC;2000;ANDRE LUIS DANTAS FERREIRA;ANDRE MOURA;Deputado Federal;Apto;Deferido
CE;PDT;1234;ANDRE PEIXOTO FIGUEIREDO LIMA;ANDR� FIGUEIREDO;Deputado Federal;Apto;Deferido
SP;PT;1354;ANDRES NAVARRO SANCHEZ;ANDRES SANCHEZ;Deputado Federal;Apto;Deferido
CE;PMDB;1500;ANIBAL FERREIRA GOMES;ANIBAL;Deputado Federal;Apto;Deferido
